Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 1000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 5620
Event count: 5620000000

Children,Self,Command,Pid,Tid,Shared Object,Symbol,AccEventCount,SelfEventCount,EventName
23.54%,0.00%,RenderThread,29627,29652,/apex/com.android.runtime/lib64/bionic/libc.so,__pthread_start(void*) (.__uniq.67847048707805468364044055584648682506),1323000000,0,cpu-clock
23.54%,0.00%,RenderThread,29627,29652,/apex/com.android.runtime/lib64/bionic/libc.so,__start_thread,1323000000,0,cpu-clock
23.54%,0.00%,RenderThread,29627,29652,/system/lib64/libhwui.so,android::uirenderer::renderthread::RenderThread::threadLoop(),1323000000,0,cpu-clock
23.54%,0.00%,RenderThread,29627,29652,/system/lib64/libutils.so,android::Thread::_threadLoop(void*),1323000000,0,cpu-clock
23.54%,0.00%,RenderThread,29627,29652,/system/lib64/libutils.so,libutil_thread_trampoline(void*) (.__uniq.226528677032898775202282855395389835431),1323000000,0,cpu-clock
23.33%,0.02%,RenderThread,29627,29652,/system/lib64/libhwui.so,"std::__1::__function::__func<android::uirenderer::renderthread::DrawFrameTask::postAndWait()::$_0, std::__1::allocator<android::uirenderer::renderthread::DrawFrameTask::postAndWait()::$_0>, void ()>::operator()() (.__uniq.264041412789356548918088680803242235290.c303f2d2360db58ed70a2d0ac7ed911b)",1311000000,1000000,cpu-clock
22.58%,0.02%,RenderThread,29627,29652,/system/lib64/libhwui.so,android::uirenderer::renderthread::CanvasContext::draw(bool),1269000000,1000000,cpu-clock
19.34%,0.05%,Chrome_InProcGp,29627,29705,/vendor/lib64/libOpenglSystemCommon.so,"QemuPipeStream::commitBufferAndReadFully(unsigned long, void*, unsigned long)",1087000000,3000000,cpu-clock
18.01%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+684cee4],1012000000,0,cpu-clock
17.97%,0.00%,Chrome_InProcGp,29627,29705,/data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so,libmonochrome_64.so[+685a4bc],1010000000,0,cpu-clock
