Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 1000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 5620
Event count: 5620000000

Overhead  Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
0.11%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+28c957c]
0.11%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2c967bc]
0.11%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+50c00b0]
0.11%     Chrome_InProcGp               29627  29705  /vendor/lib64/libGLESv2_enc.so                                                                                                                                       @plt
0.11%     Chrome_InProcGp               29627  29705  /vendor/lib64/libOpenglCodecCommon.so                                                                                                                                gfxstream::guest::GLClientState::addFreshFramebuffer(unsigned int)
0.11%     RenderThread                  29627  29652  /system/lib64/libgui.so                                                                                                                                              android::SurfaceComposerClient::Transaction::apply(bool, bool)
0.11%     RenderThread                  29627  29652  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::skiapipeline::RenderNodeDrawable::onDraw(SkCanvas*)
0.11%     binder:29627_9                29627  29777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __ioctl
0.11%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                art::(anonymous namespace)::ScopedCheck::Check(art::ScopedObjectAccess&, bool, char const*, art::(anonymous namespace)::JniValueType*) (.__uniq.99033978352804627313491551960229047428)
0.11%     com.professionballarena.game  29627  29627  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       read
0.09%     Chrome_IOThread               29627  29680  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+503e988]
0.09%     Chrome_InProcGp               29627  29705  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __memset_aarch64
0.09%     Chrome_InProcGp               29627  29705  /apex/com.android.runtime/lib64/bionic/libm.so                                                                                                                       sincosf
0.09%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  @plt
0.09%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5c69da0]
0.09%     Chrome_InProcGp               29627  29705  /vendor/lib64/libOpenglCodecCommon.so                                                                                                                                gfxstream::guest::GLSharedGroup::isShaderOrProgramObject(unsigned int)
0.09%     Jit thread pool               29627  29633  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.09%     RenderThread                  29627  29652  /apex/com.android.runtime/bin/linker64                                                                                                                               [linker]tlsdesc_resolver_dynamic
0.09%     RenderThread                  29627  29652  /system/lib64/libbinder.so                                                                                                                                           android::Parcel::flattenBinder(android::sp<android::IBinder> const&)
0.09%     RenderThread                  29627  29652  /system/lib64/libbinder.so                                                                                                                                           android::Parcel::writeInt32(int)
0.09%     RenderThread                  29627  29652  /system/lib64/libgui.so                                                                                                                                              android::BufferQueueProducer::queueBuffer(int, android::IGraphicBufferProducer::QueueBufferInput const&, android::IGraphicBufferProducer::QueueBufferOutput*)
0.09%     RenderThread                  29627  29652  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const
0.09%     RenderThread                  29627  29652  /vendor/lib64/libGLESv2_enc.so                                                                                                                                       @plt
0.09%     VizWebView                    29627  29698  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       syscall
0.09%     binder:29627_6                29627  29731  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __close
0.09%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                art::(anonymous namespace)::CheckMethodArguments(art::JavaVMExt*, art::ArtMethod*, unsigned int*) (.__uniq.245181933781456475607640333933569312899.llvm.16831291555498695779)
0.09%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                art::jit::Jit::MaybeDoOnStackReplacement(art::Thread*, art::ArtMethod*, unsigned int, int, art::JValue*)
0.09%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                artQuickGenericJniEndTrampoline
0.09%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_generic_jni_trampoline
0.09%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_to_interpreter_bridge
0.09%     com.professionballarena.game  29627  29627  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __memcmp_aarch64
0.09%     com.professionballarena.game  29627  29627  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       recvfrom
0.09%     com.professionballarena.game  29627  29627  [JIT app cache]                                                                                                                                                      android.graphics.Rect.set
0.09%     com.professionballarena.game  29627  29627  [JIT app cache]                                                                                                                                                      java.util.concurrent.atomic.AtomicLong.incrementAndGet
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2a337c4]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2c967b8]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2cbfdf0]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2d13888]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+41ce8c8]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+4cff0b4]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+4cff668]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+50c0018]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+50c6e68]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+50c6f48]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a25fc4]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a49274]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a4a008]
0.07%     Chrome_InProcGp               29627  29705  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+88dbd88]
0.07%     Chrome_InProcGp               29627  29705  /vendor/lib64/egl/libEGL_emulation.so                                                                                                                                @plt
0.07%     Chrome_InProcGp               29627  29705  /vendor/lib64/egl/libEGL_emulation.so                                                                                                                                qemu_pipe_write_fully
0.07%     Chrome_InProcGp               29627  29705  /vendor/lib64/libOpenglSystemCommon.so                                                                                                                               gfxstream::guest::IOStream::alloc(unsigned long)
0.07%     RenderThread                  29627  29652  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::skiapipeline::SkiaPipeline::renderFrame(android::uirenderer::LayerUpdateQueue const&, SkRect const&, std::__1::vector<android::sp<android::uirenderer::RenderNode>, std::__1::allocator<android::sp<android::uirenderer::RenderNode>>> const&, bool, android::uirenderer::Rect const&, sk_sp<SkSurface>, SkMatrix const&)
0.07%     binder:29627_6                29627  29731  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __recvmsg
0.07%     binder:29627_9                29627  29777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __close
0.07%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                @plt
0.07%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                art::(anonymous namespace)::CheckJII::GetEnv(_JavaVM*, void**, int) (.__uniq.99033978352804627313491551960229047428.llvm.14895045140914427511)
0.07%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_imt_conflict_trampoline
0.07%     com.professionballarena.game  29627  29627  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_invoke_stub
0.07%     com.professionballarena.game  29627  29627  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __strlen_aarch64
