Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Children,Self,Command,Pid,Tid,Shared Object,Symbol,AccEventCount,SelfEventCount,EventName
30.49%,0.06%,Chrome_InProcGp,27744,27829,/vendor/lib64/libOpenglSystemCommon.so,"QemuPipeStream::commitBufferAndReadFully(unsigned long, void*, unsigned long)",2619000000,5500000,cpu-clock
29.13%,0.06%,Chrome_InProcGp,27744,27829,/vendor/lib64/egl/libEGL_emulation.so,qemu_pipe_read,2502000000,5250000,cpu-clock
28.95%,28.95%,Chrome_InProcGp,27744,27829,/apex/com.android.runtime/lib64/bionic/libc.so,read,2486500000,2486500000,cpu-clock
20.16%,0.03%,RenderThread,27744,27777,/system/lib64/libhwui.so,android::uirenderer::renderthread::CanvasContext::draw(bool),1731250000,3000000,cpu-clock
20.06%,0.01%,RenderThread,27744,27777,/system/lib64/libhwui.so,android::uirenderer::renderthread::RenderThread::threadLoop(),1723000000,500000,cpu-clock
20.06%,0.00%,RenderThread,27744,27777,/apex/com.android.runtime/lib64/bionic/libc.so,__pthread_start(void*) (.__uniq.67847048707805468364044055584648682506),1723000000,0,cpu-clock
20.06%,0.00%,RenderThread,27744,27777,/apex/com.android.runtime/lib64/bionic/libc.so,__start_thread,1723000000,0,cpu-clock
20.06%,0.00%,RenderThread,27744,27777,/system/lib64/libutils.so,android::Thread::_threadLoop(void*),1723000000,0,cpu-clock
20.06%,0.00%,RenderThread,27744,27777,/system/lib64/libutils.so,libutil_thread_trampoline(void*) (.__uniq.226528677032898775202282855395389835431),1723000000,0,cpu-clock
19.88%,0.02%,RenderThread,27744,27777,/system/lib64/libhwui.so,"std::__1::__function::__func<android::uirenderer::renderthread::DrawFrameTask::postAndWait()::$_0, std::__1::allocator<android::uirenderer::renderthread::DrawFrameTask::postAndWait()::$_0>, void ()>::operator()() (.__uniq.264041412789356548918088680803242235290.c303f2d2360db58ed70a2d0ac7ed911b)",1707750000,1750000,cpu-clock
19.14%,0.24%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,void art::interpreter::ExecuteSwitchImplCpp<false>(art::interpreter::SwitchImplContext*),1643750000,21000000,cpu-clock
19.14%,0.19%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,"bool art::interpreter::DoCall<false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, bool, art::JValue*)",1643750000,16000000,cpu-clock
19.13%,0.01%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,ExecuteSwitchImplAsm,1643500000,500000,cpu-clock
19.13%,0.10%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,art_quick_invoke_stub,1643000000,9000000,cpu-clock
19.13%,0.10%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,art_quick_generic_jni_trampoline,1642750000,8250000,cpu-clock
19.12%,0.06%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,art_quick_invoke_static_stub,1642250000,5000000,cpu-clock
19.12%,0.18%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,artQuickToInterpreterBridge,1642000000,15750000,cpu-clock
19.12%,0.08%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,art_quick_to_interpreter_bridge,1642000000,7000000,cpu-clock
19.12%,0.02%,com.professionballarena.game,27744,27744,/apex/com.android.art/lib64/libart.so,"art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.__uniq.112435418011751916792819755956732575238.llvm.15926011731833139376)",1642000000,1500000,cpu-clock
