Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Overhead  Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
0.11%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2cc9c60]
0.11%     MemoryInfra                   27744  27804  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       read
0.11%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __vfprintf
0.10%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::gc::space::ContinuousSpace::Contains(art::mirror::Object const*) const
0.10%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_invoke_stub
0.10%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+2845b08]
0.10%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_generic_jni_trampoline
0.10%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       read
0.09%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __memcpy_aarch64_simd
0.09%     Jit thread pool               27744  27751  /apex/com.android.art/lib64/libart.so                                                                                                                                art::MemMapArenaPool::TrimMaps()
0.09%     RenderThread                  27744  27777  /system/lib64/libgui.so                                                                                                                                              android::SurfaceComposerClient::Transaction::apply(bool, bool)
0.09%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::BuildGenericJniFrameVisitor::Visit()
0.09%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::gc::Heap::IsValidObjectAddress(void const*) const
0.09%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __memcmp_aarch64
0.09%     VizWebView                    27744  27823  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       write
0.09%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::BuildQuickShadowFrameVisitor::Visit()
0.09%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_imt_conflict_trampoline
0.08%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       pthread_getspecific
0.08%     Chrome_InProcGp               27744  27829  [vdso]                                                                                                                                                               __kernel_clock_gettime
0.08%     Profile Saver                 27744  27768  /apex/com.android.art/lib64/libart.so                                                                                                                                art::ProfileSaver::FetchAndCacheResolvedClassesAndMethods(bool)
0.08%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::CodeInfo::CodeInfo(unsigned char const*, unsigned long*)
0.08%     Jit thread pool               27744  27751  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       write
0.08%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_to_interpreter_bridge
0.08%     Chrome_InProcGp               27744  27829  /apex/com.android.runtime/bin/linker64                                                                                                                               [linker]tlsdesc_resolver_dynamic
0.08%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5a92784]
0.08%     Chrome_InProcGp               27744  27829  /vendor/lib64/libOpenglSystemCommon.so                                                                                                                               gfxstream::guest::IOStream::alloc(unsigned long)
0.08%     RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::RenderNode::prepareTreeImpl(android::uirenderer::TreeObserver&, android::uirenderer::TreeInfo&, bool)
0.08%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __memcpy_aarch64_simd
0.08%     com.professionballarena.game  27744  27744  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __strlen_aarch64
0.07%     Chrome_InProcGp               27744  27829  /vendor/lib64/libGLESv2_enc.so                                                                                                                                       @plt
0.07%     Chrome_InProcGp               27744  27829  /vendor/lib64/libOpenglCodecCommon.so                                                                                                                                gfxstream::guest::GLSharedGroup::getBufferData(unsigned int)
0.07%     Chrome_ChildIOT               27744  27830  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __epoll_pwait
0.07%     Chrome_ChildIOT               27744  27830  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __sendto
0.07%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       scudo::Allocator<scudo::AndroidNormalConfig, &scudo_malloc_postinit>::quarantineOrDeallocateChunk(scudo::Options const&, void*, scudo::Chunk::UnpackedHeader*, unsigned long)
0.07%     RenderThread                  27744  27777  /vendor/lib64/libOpenglSystemCommon.so                                                                                                                               gfxstream::guest::IOStream::alloc(unsigned long)
0.06%     Chrome_InProcGp               27744  27829  /vendor/lib64/libOpenglSystemCommon.so                                                                                                                               QemuPipeStream::commitBufferAndReadFully(unsigned long, void*, unsigned long)
0.06%     binder:27744_3                27744  27764  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __ioctl
0.06%     binder:27744_9                27744  28469  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __ioctl
0.06%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::JniDecodeReferenceResult(_jobject*, art::Thread*)
0.06%     Chrome_InProcGp               27744  27829  /vendor/lib64/egl/libEGL_emulation.so                                                                                                                                qemu_pipe_read
0.06%     RenderThread                  27744  27777  /system/lib64/libgui.so                                                                                                                                              android::BLASTBufferQueue::acquireNextBufferLocked(std::__1::optional<android::SurfaceComposerClient::Transaction*>)
0.06%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::(anonymous namespace)::ScopedCheck::CheckFieldAccess(art::ScopedObjectAccess&, _jobject*, _jfieldID*, bool, art::Primitive::Type) (.__uniq.99033978352804627313491551960229047428)
0.06%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __memcpy_aarch64_simd
0.06%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __strlen_aarch64
0.06%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       scudo::HybridMutex::unlock()
0.06%     RenderThread                  27744  27777  /system/lib64/libgui.so                                                                                                                                              @plt
0.06%     RenderThread                  27744  27777  /system/lib64/libgui.so                                                                                                                                              android::BLASTBufferItemConsumer::addAndGetFrameTimestamps(android::NewFrameEventsEntry const*, android::FrameEventHistoryDelta*)
0.06%     RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::skiapipeline::RenderNodeDrawable::drawContent(SkCanvas*) const
0.06%     com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_invoke_static_stub
0.06%     com.professionballarena.game  27744  27744  /system/lib64/libcutils.so                                                                                                                                           atrace_get_enabled_tags
0.06%     Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5b08d70]
0.06%     com.professionballarena.game  27744  27744  [vdso]                                                                                                                                                               __kernel_clock_gettime
0.05%     Chrome_IOThread               27744  27803  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+503e988]
0.05%     RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __epoll_pwait
0.05%     RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             SkDrawable::draw(SkCanvas*, SkMatrix const*)
