Cmdline: /system/bin/simpleperf record --app com.professionballarena.game --add-meta-info app_type=debuggable --in-app --tracepoint-events /data/local/tmp/tracepoint_events --out-fd 3 --stop-signal-fd 4 -e cpu-clock -f 4000 -g --duration 32
Arch: arm64
Event: cpu-clock (type 1, config 0)
Samples: 34358
Event count: 8589500000

Children  Self    Command                       Pid    Tid    Shared Object                                                                                                                                                        Symbol
20.16%    0.03%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::renderthread::CanvasContext::draw(bool)
20.06%    0.01%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             android::uirenderer::renderthread::RenderThread::threadLoop()
20.06%    0.00%   RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __pthread_start(void*) (.__uniq.67847048707805468364044055584648682506)
20.06%    0.00%   RenderThread                  27744  27777  /apex/com.android.runtime/lib64/bionic/libc.so                                                                                                                       __start_thread
20.06%    0.00%   RenderThread                  27744  27777  /system/lib64/libutils.so                                                                                                                                            android::Thread::_threadLoop(void*)
20.06%    0.00%   RenderThread                  27744  27777  /system/lib64/libutils.so                                                                                                                                            libutil_thread_trampoline(void*) (.__uniq.226528677032898775202282855395389835431)
19.88%    0.02%   RenderThread                  27744  27777  /system/lib64/libhwui.so                                                                                                                                             std::__1::__function::__func<android::uirenderer::renderthread::DrawFrameTask::postAndWait()::$_0, std::__1::allocator<android::uirenderer::renderthread::DrawFrameTask::postAndWait()::$_0>, void ()>::operator()() (.__uniq.264041412789356548918088680803242235290.c303f2d2360db58ed70a2d0ac7ed911b)
19.14%    0.24%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                void art::interpreter::ExecuteSwitchImplCpp<false>(art::interpreter::SwitchImplContext*)
19.14%    0.19%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                bool art::interpreter::DoCall<false>(art::ArtMethod*, art::Thread*, art::ShadowFrame&, art::Instruction const*, unsigned short, bool, art::JValue*)
19.13%    0.01%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                ExecuteSwitchImplAsm
19.13%    0.10%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_invoke_stub
19.13%    0.10%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_generic_jni_trampoline
19.12%    0.06%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_invoke_static_stub
19.12%    0.18%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                artQuickToInterpreterBridge
19.12%    0.08%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art_quick_to_interpreter_bridge
19.12%    0.02%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::interpreter::Execute(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame&, art::JValue, bool, bool) (.__uniq.112435418011751916792819755956732575238.llvm.15926011731833139376)
19.12%    0.01%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::interpreter::ArtInterpreterToInterpreterBridge(art::Thread*, art::CodeItemDataAccessor const&, art::ShadowFrame*, art::JValue*)
19.11%    0.00%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                _jobject* art::InvokeMethod<(art::PointerSize)8>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jobject*, _jobject*, unsigned long)
19.11%    0.00%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::Method_invoke(_JNIEnv*, _jobject*, _jobject*, _jobjectArray*) (.__uniq.165753521025965369065708152063621506277)
19.11%    0.00%   com.professionballarena.game  27744  27744  /system/framework/framework.jar                                                                                                                                      android.app.ActivityThread.main
19.11%    0.00%   com.professionballarena.game  27744  27744  /system/framework/framework.jar                                                                                                                                      android.os.Looper.loop
19.05%    0.04%   com.professionballarena.game  27744  27744  [JIT app cache]                                                                                                                                                      android.os.Looper.loopOnce
19.01%    0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+684cff8]
19.01%    0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+686d9d8]
18.99%    0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+686d848]
18.98%    0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+6871240]
18.50%    0.00%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::JNI<true>::CallStaticVoidMethodV(_JNIEnv*, _jclass*, _jmethodID*, std::__va_list)
18.50%    0.00%   com.professionballarena.game  27744  27744  /apex/com.android.art/lib64/libart.so                                                                                                                                art::JValue art::InvokeWithVarArgs<_jmethodID*>(art::ScopedObjectAccessAlreadyRunnable const&, _jobject*, _jmethodID*, std::__va_list)
18.50%    0.00%   com.professionballarena.game  27744  27744  /system/bin/app_process64                                                                                                                                            main
18.50%    0.00%   com.professionballarena.game  27744  27744  /system/framework/arm64/boot-framework.oat                                                                                                                           com.android.internal.os.ZygoteInit.main
18.50%    0.00%   com.professionballarena.game  27744  27744  /system/framework/framework.jar                                                                                                                                      com.android.internal.os.RuntimeInit$MethodAndArgsCaller.run
18.50%    0.00%   com.professionballarena.game  27744  27744  /system/lib64/libandroid_runtime.so                                                                                                                                  _JNIEnv::CallStaticVoidMethod(_jclass*, _jmethodID*, ...)
18.50%    0.00%   com.professionballarena.game  27744  27744  /system/lib64/libandroid_runtime.so                                                                                                                                  android::AndroidRuntime::start(char const*, android::Vector<android::String8> const&, bool)
18.34%    0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+685f2dc]
18.30%    0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5cd170c]
18.08%    0.00%   Chrome_InProcGp               27744  27829  /data/app/~~bAWld88vGZIp2gx_c16ZOQ==/com.google.android.trichromelibrary_699813532-MuApWYbTReCiok4Ut41Ccg==/TrichromeLibrary.apk!/lib/arm64-v8a/libmonochrome_64.so  libmonochrome_64.so[+5cd17ec]
18.04%    0.00%   Chrome_InProcGp               27744  27829  /vendor/lib64/egl/libEGL_emulation.so                                                                                                                                eglCreateSyncKHR
